日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170928,10001018.SH,510050P1711M02700,2.7,0.033,0.034,0.0282,0.0288,11910.0,6178.0,3724225.0,10000,20171122,510050.SH,2.715,-0.389,-0.098,3.749,0.404,-0.163,0.0495365387986,0.0633586170512,0.0967982257694,0.112328714706,0.122102807033,0.113539893722,0.107477200513,0.103560292483,L2,IH1711,2679.8
20170929,10001018.SH,510050P1711M02700,2.7,0.028,0.028,0.0204,0.0234,10976.0,11398.0,2466183.0,10000,20171122,510050.SH,2.726,-0.344,-0.095,3.729,0.386,-0.142,0.0539027208937,0.0654614672576,0.0966557413031,0.112297059165,0.122077453335,0.113611828537,0.107530886848,0.103502213669,L2,IH1711,2694.0
20171009,10001018.SH,510050P1711M02700,2.7,0.0118,0.0181,0.009,0.0161,14100.0,15364.0,2005267.0,10000,20171122,510050.SH,2.75,-0.263,-0.111,3.341,0.312,-0.089,0.0681318161161,0.0729284279687,0.0992073319225,0.113025824388,0.113770500659,0.114052259819,0.107444344015,0.103892717805,L2,IH1711,2710.4
20171010,10001018.SH,510050P1711M02700,2.7,0.0161,0.0204,0.0132,0.0168,15809.0,20555.0,2764755.0,10000,20171122,510050.SH,2.746,-0.275,-0.114,3.462,0.315,-0.091,0.0657278206945,0.0686822634785,0.0961097788739,0.111229047253,0.113759716392,0.113960493187,0.107487207423,0.103848790602,L2,IH1711,2706.6
20171011,10001018.SH,510050P1711M02700,2.7,0.017,0.017,0.0103,0.0114,7710.0,22654.0,937471.0,10000,20171122,510050.SH,2.762,-0.212,-0.098,3.153,0.271,-0.069,0.0686497044204,0.0686890973718,0.0954934661009,0.111417988706,0.113941838448,0.113497028726,0.107653713518,0.103816698022,L2,IH1711,2721.8
20171012,10001018.SH,510050P1711M02700,2.7,0.012,0.0128,0.0087,0.0093,6724.0,24621.0,730362.0,10000,20171122,510050.SH,2.773,-0.18,-0.093,2.838,0.244,-0.057,0.0685887378271,0.0640588612328,0.0950575645501,0.10752424296,0.113754140713,0.113558323239,0.107302437453,0.103765143662,L2,IH1711,2729.8
20171013,10001018.SH,510050P1711M02700,2.7,0.0097,0.0103,0.0088,0.0091,5205.0,24483.0,498679.0,10000,20171122,510050.SH,2.771,-0.18,-0.093,2.92,0.241,-0.056,0.0693350307965,0.0636530768003,0.0730563333707,0.105851588287,0.112761630738,0.113054186479,0.107109670141,0.103618933155,L2,IH1711,2729.8
20171016,10001018.SH,510050P1711M02700,2.7,0.0094,0.0094,0.0058,0.0069,10129.0,24047.0,705686.0,10000,20171122,510050.SH,2.781,-0.147,-0.087,2.629,0.204,-0.042,0.0694658591091,0.0630965775515,0.0663897590508,0.106004924794,0.110842241437,0.112470410439,0.107140683894,0.102799120957,L2,IH1711,2738.2
20171017,10001018.SH,510050P1711M02700,2.7,0.007,0.0074,0.0057,0.0064,9968.0,24852.0,650687.0,10000,20171122,510050.SH,2.779,-0.145,-0.086,2.697,0.199,-0.04,0.0704749116941,0.0606639389599,0.0664004141792,0.1056583558,0.110624501147,0.112462905916,0.107158479213,0.102636135897,L2,IH1711,2735.8
20171018,10001018.SH,510050P1711M02700,2.7,0.0065,0.0066,0.0044,0.0044,10190.0,26199.0,540532.0,10000,20171122,510050.SH,2.802,-0.102,-0.074,2.0,0.155,-0.028,0.0567975517048,0.0649920433331,0.06862048931,0.102125814396,0.110428302935,0.112804801458,0.107537084732,0.102788328584,L2,IH1711,2755.2
